shops,ratings,userids
muffinman-singapore,4.0,1296
muffinman-singapore,4.0,2043
soi-55-singapore-2,4.0,1475
soi-55-singapore-2,4.0,2043
flee-away-cafe-singapore,4.0,1075
flee-away-cafe-singapore,4.0,140
flee-away-cafe-singapore,4.0,417
flee-away-cafe-singapore,4.0,872
flee-away-cafe-singapore,4.0,2043
one-man-coffee-singapore,5.0,2247
one-man-coffee-singapore,5.0,903
one-man-coffee-singapore,5.0,2479
one-man-coffee-singapore,5.0,91
one-man-coffee-singapore,5.0,27
one-man-coffee-singapore,5.0,75
one-man-coffee-singapore,5.0,957
one-man-coffee-singapore,5.0,1534
one-man-coffee-singapore,5.0,780
one-man-coffee-singapore,5.0,2237
one-man-coffee-singapore,5.0,186
one-man-coffee-singapore,5.0,949
one-man-coffee-singapore,5.0,583
one-man-coffee-singapore,5.0,99
one-man-coffee-singapore,5.0,2159
one-man-coffee-singapore,5.0,2138
one-man-coffee-singapore,5.0,2043
the-new-black-singapore-2,5.0,2237
the-new-black-singapore-2,5.0,2043
hoshino-coffee-singapore-6,5.0,1365
hoshino-coffee-singapore-6,5.0,2347
hoshino-coffee-singapore-6,5.0,2549
hoshino-coffee-singapore-6,5.0,2487
hoshino-coffee-singapore-6,5.0,1639
hoshino-coffee-singapore-6,5.0,2097
hoshino-coffee-singapore-6,5.0,2043
starbucks-singapore-140,5.0,2144
starbucks-singapore-140,5.0,296
starbucks-singapore-140,5.0,2043
hoopla-singapore,5.0,306
hoopla-singapore,5.0,1414
hoopla-singapore,5.0,1185
hoopla-singapore,5.0,2043
saladstop-singapore-2,5.0,1108
saladstop-singapore-2,5.0,1359
saladstop-singapore-2,5.0,703
saladstop-singapore-2,5.0,2043
starbucks-singapore-43,5.0,540
starbucks-singapore-43,5.0,808
starbucks-singapore-43,5.0,2043
starbucks-singapore-158,3.0,631
starbucks-singapore-158,3.0,2043
seed-and-soil-singapore,5.0,1985
seed-and-soil-singapore,5.0,91
seed-and-soil-singapore,5.0,2043
toast-box-singapore-63,4.0,1981
toast-box-singapore-63,4.0,361
toast-box-singapore-63,4.0,2070
toast-box-singapore-63,4.0,668
toast-box-singapore-63,4.0,18
toast-box-singapore-63,4.0,1385
toast-box-singapore-63,4.0,1345
toast-box-singapore-63,4.0,2263
toast-box-singapore-63,4.0,542
toast-box-singapore-63,4.0,1353
toast-box-singapore-63,4.0,2540
toast-box-singapore-63,4.0,2043
butterknife-folk-singapore,5.0,2434
butterknife-folk-singapore,5.0,2068
butterknife-folk-singapore,5.0,200
butterknife-folk-singapore,5.0,2435
butterknife-folk-singapore,5.0,2043
cow-palace-restaurant-and-cafe-singapore,4.0,1833
cow-palace-restaurant-and-cafe-singapore,4.0,2043
fine-cuts-singapore,4.0,556
fine-cuts-singapore,4.0,2043
toast-box-singapore-18,5.0,1868
toast-box-singapore-18,5.0,111
toast-box-singapore-18,5.0,2179
toast-box-singapore-18,5.0,810
toast-box-singapore-18,5.0,2407
toast-box-singapore-18,5.0,2043
hai-sing-coffee-stall-singapore,3.0,1897
hai-sing-coffee-stall-singapore,3.0,2043
old-town-white-coffee-singapore-8,3.0,1636
old-town-white-coffee-singapore-8,3.0,2203
old-town-white-coffee-singapore-8,3.0,726
old-town-white-coffee-singapore-8,3.0,137
old-town-white-coffee-singapore-8,3.0,1420
old-town-white-coffee-singapore-8,3.0,2061
old-town-white-coffee-singapore-8,3.0,115
old-town-white-coffee-singapore-8,3.0,953
old-town-white-coffee-singapore-8,3.0,2182
old-town-white-coffee-singapore-8,3.0,214
old-town-white-coffee-singapore-8,3.0,2408
old-town-white-coffee-singapore-8,3.0,2043
jew-kit-hainanese-chicken-rice-singapore,4.0,2436
jew-kit-hainanese-chicken-rice-singapore,4.0,2043
the-coffee-bean-and-tea-leaf-singapore-23,4.0,1276
the-coffee-bean-and-tea-leaf-singapore-23,4.0,2551
the-coffee-bean-and-tea-leaf-singapore-23,4.0,184
the-coffee-bean-and-tea-leaf-singapore-23,4.0,2043
hup-choon-eating-house-singapore-2,5.0,753
hup-choon-eating-house-singapore-2,5.0,2043
laurent-bernard-chocolatier-singapore,5.0,513
laurent-bernard-chocolatier-singapore,5.0,221
laurent-bernard-chocolatier-singapore,5.0,281
laurent-bernard-chocolatier-singapore,5.0,1602
laurent-bernard-chocolatier-singapore,5.0,2044
laurent-bernard-chocolatier-singapore,5.0,1421
laurent-bernard-chocolatier-singapore,5.0,401
laurent-bernard-chocolatier-singapore,5.0,1011
laurent-bernard-chocolatier-singapore,5.0,1839
laurent-bernard-chocolatier-singapore,5.0,1274
laurent-bernard-chocolatier-singapore,5.0,26
laurent-bernard-chocolatier-singapore,5.0,256
